"GageID","ToolID","PartNo","Description","Custodian","CurrentStatus","WithCustodian","InToolControl","InCalibration","OutOfService","CalibrationStatus","SpecificDate","ScheduleDays","ScheduleDate","NoCalibrationReq","CalibrationDue","Location","Notes","Lab","Path","CertificateNotes","CertificateProcedure","Received","Left","General","SubmittedTo","SubmittedBy","DateCal"
1,"CI-113","n/a","Thread gage, plug, go/no go, 6-32 UNC-2B STI","QA",2,7/15/2021 0:00:00,6/8/2021 0:00:00,9/15/2023 0:00:00,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"QA","Balax","WSC","K:\Quality - Records\7150 - Calibration\Calibration\CI-113 Thread Gage 6-32 UNC-2B STI\CI-113 - 2310005.pdf",,,,,,,,
2,"CI-083","Omega CT87LF","Temperature Recorder","QA",0,3/26/2021 0:00:00,,,,1,7/21/2020 0:00:00,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Paint","MFG - Omega","National Calibration Inc.","K:\Quality - Records\7150 - Calibration\Calibration\CI-083 Temp Recorder\CI-083 - 668273.pdf",,,,,,,,
3,"CI-274","n/a","Thread gage, plug, go/no go 2-56 UNC-2B","QA",,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"GRC","Balax","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-274 Thread Gage 2-56 UNC-2B\Certificate 856255.pdf",,,,,,,,
4,"CI-112","n/a","Thread gage, plug, go/no go, 4-40 UNC-2B STI","QA",0,11/30/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","Greenfield","Reference only","",,,,,,,,
5,"CI-159","BT-ST-751","Torque wrench, dial","Shop",,,,,,1,,365,1/29/2024 0:00:00,0,1/28/2025 0:00:00,"Shop - Assembly","Daniels","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-159 Dial Torque Wrench\Certificate 868576.pdf",,,,,,,,
6,"CI-132","Watlow PM6R2CJ","Temp. Controller ","Shop",0,10/12/2022 0:00:00,,,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Chemical Conversion & Heat Treat Area","Mfr.: Watlow","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-132 Temp Controller\CI-132 - 668298.pdf",,,,,,,,
9,"CI-044","25-441","Indicator, dial, 1""","QA",,,,,,0,2/13/2026 0:00:00,365,9/1/2023 0:00:00,0,2/13/2026 0:00:00,"Out at calibration","Starrett","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-044 1in Dial Ind\CI-044 - 231005.pdf",,,,,,,,
10,"CI-245","n/a","Thread gage, plug,go/no go, 8-32 UNC-2B STI ","QA",0,12/1/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Missing","Balax","Western States","K:\Scans\Calibration\CI-245 Thread Gage 8-32 UNC-2B STI\CI-245 - OOTRep.pdf",,,,,,,,
11,"CI-285","n/a","Thread gage, plug,go/no go, 8-32 UNC-2B","QA",3,12/1/2022 0:00:00,,,6/5/2023 0:00:00,2,,365,1/1/2222 0:00:00,1,,"Scrapped","Vermont Gage","Western States","K:\Scans\Calibration\CI-285 Thread Gage 8-32 UNC-2B\CI-285 - OOTRpt.pdf",,,,,,,,
12,"CI-254","n/a","Thread gage, plug, go/no go, 6-32 UNC-3B","QA",,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"GRC","Balax","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-254 Thread Gage 6-32 UNC-3B\Certificate 856254.pdf",,,,,,,,
13,"CI-233","n/a","Thread gage, plug, go/no go, 10-32 UNJF-3B","QA Cabinet",0,3/13/2025 0:00:00,,,,1,,365,3/13/2025 0:00:00,0,3/13/2026 0:00:00,"QA Cabinet","","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-233 Thread Gage 10-32 UNJF-3B\Certificate 868569.pdf",,,,,,,,
14,"CI-089","n/a","Thread gage, plug, go/no go, 10-32 UNF-2B","QA",0,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"GRC","SPI","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-089 Thread Gage 10-32 UNF-2B\Certificate 856256.pdf",,,,,,,,
15,"CI-065","n/a","Thread gage, plug, go/no go, 1/4-28 UNF-2B","QA",,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"GRC","Vermont Gage","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-065 Thread Gage 1_4-28 UNF-2B\Certificate 856251.pdf",,,,,,,,
16,"CI-220","n/a","Thread gage, plug, go/no go, 5/16-24 UNF-2B","QA",,,,,,1,,365,4/29/2024 0:00:00,0,4/29/2025 0:00:00,"GRC","Vermont Gage","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-220 Thread Gage 5_16-24 UNF-2B\Certificate 856257.pdf",,,,,,,,
17,"CI-279","n/a","Thread gage, ring, go/no go set, 2-56 UNC-2A","QA",0,12/1/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Missing","Vermont Gage","Western States","K:\Scans\Calibration\CI-279 Thread Gage 2-56 UNC-2A\CI-279 - 220416.pdf",,,,,,,,
18,"CI-291","n/a","Thread gage, ring, go, 8-32 UNJC-2A","QA",0,5/1/2024 0:00:00,,,,1,5/20/2021 0:00:00,365,5/16/2024 0:00:00,0,5/16/2025 0:00:00,"GRC","Vermont Gage","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-291 Thread Gage Go 8-32 UNJC-2A\Certificate 868571.pdf",,,,,,,,
19,"CI-292","n/a","Thread gage, ring, no go, 8-32 UNJC-2A","QA Cabinet",0,5/1/2025 0:00:00,,,,1,,365,5/16/2024 0:00:00,0,5/16/2025 0:00:00,"GRC","Vermont Gage","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-292 Thread Gage NoGo 8-32 UNJC-2A\Certificate 868572.pdf",,,,,,,,
20,"CI-270","Watlow PM6C1EJ-AAFJAAA","Temp. Controller","Shop",,,,,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Shop","Watlow
Freezer","National","K:\Quality - Records\7150 - Calibration\Calibration\CI-270 Temp Controller\CI-270 - 668274.pdf",,,,,,,,
